Name,Electoral Id,Email Address
Airi Satou,1,gmigwi17@alastudents.org
Angelica Ramos,2,gerrymigwi6@gmail.com
Ashton Cox,3,gerrymigwi.dev@gmail.com
Bradley Greer,4,gmigwi17@alastudents.org
Brenden Wagner,5,gmigwi17@alastudents.org
Brielle Williamson,6,gmigwi17@alastudents.org
Finn Camachfrfo,7,gmigwi17@alastudents.org
Caesar Vance,8,gmigwi17@alastudents.org
Cara Stevens,9,gmigwi17@alastudents.org
Cedric Kelly,10,gmigwi17@alastudents.org
Charde Marshall,11,gmigwi17@alastudents.org
Colleen Hurst,12,gmigwi17@alastudents.org
Dai Rios,13,gmigwi17@alastudents.org
Donna Snider,14,gmigwi17@alastudents.org
Doris Wilder,15,gmigwi17@alastudents.org
Finn Camacho,16,gmigwi17@alastudents.org
Fiona Green,17,gnjine17@alastudents.org
Garrett Winters,18,gnjine17@alastudents.org
Gavin Cortez,19,gnjine17@alastudents.org
Gavin Joyce,20,gnjine17@alastudents.org
Gloria Little,21,gnjine17@alastudents.org
Haley Kennedy,22,njine10@gmail.com
Hermione Butler,23,gnjine17@alastudents.org
Aidri Satou,24,gnjine17@alastudents.org
Hope Fuentes,25,gnjine17@alastudents.org
Howard Hatfield,26,gnjine17@alastudents.org
Jackson Bradshaw,27,gnjine17@alastudents.org
Jena Gaines,28,gnjine17@alastudents.org
Jenette Caldwell,29,gnjine17@alastudents.org
Jennifer Acosta,30,gnjine17@alastudents.org
Jennifer Chang,31,gnjine17@alastudents.org
Jonas Alexander,32,gnjine17@alastudents.org
Lael Greer,33,gnjine17@alastudents.org
Martena Mccray,34,gnjine17@alastudents.org
Michael Bruce,35,gnjine17@alastudents.org
Michael Silva,36,gnjine17@alastudents.org
Michelle House,37,gnjine17@alastudents.org
Olivia Liang,38,gnjine17@alastudents.org
Paul Byrd,39,gnjine17@alastudents.org
Prescott Bartlett,40,gnjine17@alastudents.org
Quinn Flynn,41,gnjine17@alastudents.org
Rhona Davidson,42,gnjine17@alastudents.org
Sakura Yamamoto,43,gnjine17@alastudents.org
Serge Baldwin,44,gnjine17@alastudents.org
Shad Decker,45,gnjine17@alastudents.org
Shou Itou,46,gnjine17@alastudents.org
Sonya Frost,47,gnjine17@alastudents.org
Airi Satou,48,gnjine17@alastudents.org
Tatyana Fitzpatrick,49,gnjine17@alastudents.org
Thor Walton,50,gnjine17@alastudents.org
Tiger Nixon,51,gnjine17@alastudents.org
Timothy Mooney,52,gnjine17@alastudents.org
Unit herf,53,gnjine17@alastudents.org
Vivian Harrell,54,gnjine17@alastudents.org
Yuri Berry,55,gnjine17@alastudents.org
Zenaida Frank,56,gnjine17@alastudents.org
Zorita Serrano,57,gnjine17@alastudents.org
